response,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
1,North America,40 - 49,"Mental Health & Flexibility (eg: Meditation, Yoga)","Health and fitness conscious (people who like to keep track of health data such as heart rate, number of steps, glasses of water drunk etc. but may not be participating in fitness activities)",I don't use any smartwatch,Battery;Apps/Software Interface;Compatibility with other devices,,"Calorie tracking;Solar chargeable battery (Your battery charges as you run outdoors);Posting workout statistics on social media;Steps counter;Virtual fitness trainer on watch that designs and recommends tailored workouts for goals;Heart rate tracker;Water resistant;Music toggle options (eg: play, pause, next)",NA
2,Asia,30 - 39,"Endurance (eg: Running, Swimming, Playing Sports);Strength (eg: Weightlifting)",Health and fitness enthusiast (people have fitness and exercise integrated into their lifestyle to varying degrees but may not be participating in fitness activities professionally or competitively),I don't use any smartwatch,"Nothing, I love my smartwatch/Don't have a smartwatch",,Solar chargeable battery (Your battery charges as you run outdoors);GPS tracker (eg: for tracking running route);Steps counter;New workouts;Virtual fitness trainer on watch that designs and recommends tailored workouts for goals;Heart rate tracker,N/A
3,North America,30 - 39,"Endurance (eg: Running, Swimming, Playing Sports)","Health and fitness conscious (people who like to keep track of health data such as heart rate, number of steps, glasses of water drunk etc. but may not be participating in fitness activities)",Apple,Compatibility with other devices,Can use with device other than iPhone,Calorie tracking;Water resistant,NA
4,Asia,18 - 29,"Endurance (eg: Running, Swimming, Playing Sports);Strength (eg: Weightlifting)","Health and fitness conscious (people who like to keep track of health data such as heart rate, number of steps, glasses of water drunk etc. but may not be participating in fitness activities)",Apple,"Nothing, I love my smartwatch/Don't have a smartwatch",,Solar chargeable battery (Your battery charges as you run outdoors),n/a
5,North America,18 - 29,"Mental Health & Flexibility (eg: Meditation, Yoga);Endurance (eg: Running, Swimming, Playing Sports);Strength (eg: Weightlifting);Balance (eg: Pilates)",Health and fitness enthusiast (people have fitness and exercise integrated into their lifestyle to varying degrees but may not be participating in fitness activities professionally or competitively),Fitbit,"Screen (eg: brightness, easily scratched);Apps/Software Interface;Compatibility with other devices",,"Solar chargeable battery (Your battery charges as you run outdoors);Synchronised workouts with friends on watch;GPS tracker (eg: for tracking running route);Steps counter;Virtual fitness trainer on watch that designs and recommends tailored workouts for goals;Feature to set, track and remind of fitness goals;Heart rate tracker;Water resistant;Music toggle options (eg: play, pause, next);Other",I would like to be able to do other things on my fitbit while I'm tracking my workout
6,North America,18 - 29,"Mental Health & Flexibility (eg: Meditation, Yoga);Endurance (eg: Running, Swimming, Playing Sports);Strength (eg: Weightlifting);Balance (eg: Pilates)",Health and fitness enthusiast (people have fitness and exercise integrated into their lifestyle to varying degrees but may not be participating in fitness activities professionally or competitively),Apple,Apps/Software Interface,,"Synchronised workouts with friends on watch;GPS tracker (eg: for tracking running route);Virtual fitness trainer on watch that designs and recommends tailored workouts for goals;Feature to set, track and remind of fitness goals;Heart rate tracker;Water resistant",N/A
7,Asia,30 - 39,"Mental Health & Flexibility (eg: Meditation, Yoga)","Health and fitness conscious (people who like to keep track of health data such as heart rate, number of steps, glasses of water drunk etc. but may not be participating in fitness activities)",Fitbit,"Strap (eg: uncomfortable, smells bad after workout);Screen (eg: brightness, easily scratched);Apps/Software Interface",My strap broke - I had to borrow the straps of my mom's fitbit(she doesn't wear them). Now I have pink straps to a black watch.,"Customisable strap;Solar chargeable battery (Your battery charges as you run outdoors);GPS tracker (eg: for tracking running route);Music toggle options (eg: play, pause, next)",-
8,North America,18 - 29,"Endurance (eg: Running, Swimming, Playing Sports)","Health and fitness conscious (people who like to keep track of health data such as heart rate, number of steps, glasses of water drunk etc. but may not be participating in fitness activities)",Apple,Battery,longer battery life,Solar chargeable battery (Your battery charges as you run outdoors),N/A
9,Asia,30 - 39,"Mental Health & Flexibility (eg: Meditation, Yoga);Endurance (eg: Running, Swimming, Playing Sports)","Health and fitness conscious (people who like to keep track of health data such as heart rate, number of steps, glasses of water drunk etc. but may not be participating in fitness activities)",Fitbit,"Screen (eg: brightness, easily scratched)",,"Calorie tracking;Customisable strap;Synchronised workouts with friends on watch;Steps counter;New workouts;Feature to set, track and remind of fitness goals;Custom reminders (eg: drink a glass of water);Water resistant",nope
10,Asia,30 - 39,"Endurance (eg: Running, Swimming, Playing Sports)",Health and fitness enthusiast (people have fitness and exercise integrated into their lifestyle to varying degrees but may not be participating in fitness activities professionally or competitively),Huawei,"Dial;Apps/Software Interface;Nothing, I love my smartwatch/Don't have a smartwatch","Easy access to some features, finding little difficult to access the desired application","Customisable strap;Solar chargeable battery (Your battery charges as you run outdoors);GPS tracker (eg: for tracking running route);Steps counter;Feature to set, track and remind of fitness goals;Heart rate tracker;Custom reminders (eg: drink a glass of water);Water resistant;Other",I like the Sleep Tracker too
